ID Opération,Date,Service,Région,Canal,Demandes reçues,Demandes abouties,Échecs,Délai moyen (sec),Mois_Nom,Mois
OP0042,2026-03-01,Inscription en ligne,Centrale,Guichet assisté,503,393,110,61.9,2026-03 (March),2026-03
OP0043,2026-04-03,Suivi de dossier,Maritime,Web,584,447,137,127.1,2026-04 (April),2026-04
OP0044,2026-03-30,Inscription en ligne,Savanes,Mobile,557,529,28,94.4,2026-03 (March),2026-03
OP0045,2026-09-04,Inscription en ligne,Grand Lomé,Web,368,343,25,72.8,2026-09 (September),2026-09
OP0046,2026-09-05,Paiement de redevance,Savanes,Guichet assisté,92,85,7,32.9,2026-09 (September),2026-09
OP0047,2026-05-30,Paiement de redevance,Centrale,Web,472,393,79,118.6,2026-05 (May),2026-05
OP0048,2026-06-05,Demande d'autorisation,Maritime,Web,338,300,38,123.2,2026-06 (June),2026-06
OP0049,2026-06-04,Demande d'autorisation,Savanes,Web,598,548,50,136.8,2026-06 (June),2026-06
OP0050,2026-04-28,Suivi de dossier,Grand Lomé,Web,140,131,9,39.7,2026-04 (April),2026-04
OP0051,2026-03-21,Paiement de redevance,Savanes,Guichet assisté,313,252,61,38.6,2026-03 (March),2026-03
OP0052,2026-02-26,Suivi de dossier,Kara,Mobile,145,118,27,42.3,2026-02 (February),2026-02
OP0053,2026-03-01,Demande d'acte administratif,Centrale,Web,136,126,10,144.7,2026-03 (March),2026-03
OP0054,2026-03-15,Demande d'acte administratif,Centrale,Web,56,49,7,58.0,2026-03 (March),2026-03
OP0055,2026-02-16,Prise de rendez-vous,Grand Lomé,Mobile,582,422,160,111.15,2026-02 (February),2026-02
OP0056,2026-04-24,Inscription en ligne,Plateaux,Web,173,143,30,36.9,2026-04 (April),2026-04
OP0057,2026-04-04,Demande d'acte administratif,Maritime,Web,380,350,30,101.8,2026-04 (April),2026-04
OP0058,2026-04-02,Suivi de dossier,Savanes,Guichet assisté,402,321,81,150.2,2026-04 (April),2026-04
OP0059,2026-03-21,Demande d'autorisation,Centrale,Mobile,242,205,37,162.0,2026-03 (March),2026-03
OP0060,2026-08-02,Prise de rendez-vous,Plateaux,Web,490,415,75,118.7,2026-08 (August),2026-08
OP0061,2026-02-13,Prise de rendez-vous,Kara,Web,383,308,75,119.7,2026-02 (February),2026-02
OP0062,2026-12-02,Demande d'autorisation,Maritime,Mobile,301,261,40,76.6,2026-12 (December),2026-12
OP0063,2026-04-24,Inscription en ligne,Centrale,Web,210,171,39,127.6,2026-04 (April),2026-04
OP0064,2026-02-14,Demande d'acte administratif,Maritime,Web,197,167,30,47.6,2026-02 (February),2026-02
OP0065,2026-01-22,Suivi de dossier,Maritime,Mobile,430,353,77,57.3,2026-01 (January),2026-01
OP0066,2026-04-24,Demande d'acte administratif,Plateaux,Web,407,359,48,26.6,2026-04 (April),2026-04
OP0067,2026-05-17,Suivi de dossier,Maritime,Web,575,492,83,74.0,2026-05 (May),2026-05
OP0068,2026-02-25,Inscription en ligne,Plateaux,Guichet assisté,504,406,98,90.6,2026-02 (February),2026-02
OP0069,2026-05-30,Paiement de redevance,Plateaux,Web,429,326,103,35.6,2026-05 (May),2026-05
OP0070,2026-08-06,Inscription en ligne,Grand Lomé,Web,95,84,11,147.4,2026-08 (August),2026-08
OP0071,2026-02-18,Prise de rendez-vous,Plateaux,Mobile,74,58,16,113.1,2026-02 (February),2026-02
OP0072,2026-03-21,Paiement de redevance,Kara,Mobile,284,270,14,97.6,2026-03 (March),2026-03
OP0073,2026-05-30,Demande d'acte administratif,Savanes,Mobile,473,431,42,157.7,2026-05 (May),2026-05
OP0074,2026-03-27,Paiement de redevance,Savanes,Mobile,228,181,47,30.6,2026-03 (March),2026-03
OP0075,2026-12-04,Paiement de redevance,Plateaux,Mobile,280,234,46,135.2,2026-12 (December),2026-12
OP0076,2026-04-29,Demande d'acte administratif,Kara,Web,153,118,35,38.7,2026-04 (April),2026-04
OP0077,2026-05-27,Suivi de dossier,Savanes,Mobile,525,384,141,42.9,2026-05 (May),2026-05
OP0078,2026-02-04,Prise de rendez-vous,Centrale,Web,473,357,116,89.3,2026-02 (February),2026-02
OP0079,2026-01-05,Demande d'acte administratif,Plateaux,Web,69,62,7,178.5,2026-01 (January),2026-01
OP0080,2026-03-25,Suivi de dossier,Plateaux,Guichet assisté,342,251,91,137.6,2026-03 (March),2026-03
OP0081,2026-02-14,Inscription en ligne,Grand Lomé,Mobile,417,392,25,130.6,2026-02 (February),2026-02
OP0082,2026-01-20,Demande d'autorisation,Savanes,Web,358,305,53,50.9,2026-01 (January),2026-01
OP0083,2026-05-01,Paiement de redevance,Centrale,Web,53,39,14,139.4,2026-05 (May),2026-05
OP0084,2026-02-01,Paiement de redevance,Savanes,Web,475,454,21,140.0,2026-02 (February),2026-02
OP0085,2026-02-23,Paiement de redevance,Plateaux,Web,497,412,85,77.2,2026-02 (February),2026-02
OP0086,2026-11-02,Demande d'autorisation,Plateaux,Mobile,442,408,34,59.5,2026-11 (November),2026-11
OP0087,2026-03-02,Demande d'acte administratif,Plateaux,Mobile,445,329,116,173.9,2026-03 (March),2026-03
OP0088,2026-02-02,Suivi de dossier,Plateaux,Web,432,351,81,34.7,2026-02 (February),2026-02
OP0089,2026-08-05,Inscription en ligne,Savanes,Web,306,231,75,144.9,2026-08 (August),2026-08
OP0090,2026-05-04,Paiement de redevance,Savanes,Mobile,52,49,3,113.6,2026-05 (May),2026-05
OP0091,2026-01-31,Suivi de dossier,Kara,Web,593,572,21,26.7,2026-01 (January),2026-01
OP0092,2026-02-27,Demande d'autorisation,Plateaux,Mobile,305,276,29,35.7,2026-02 (February),2026-02
OP0093,2026-06-25,Prise de rendez-vous,Kara,Mobile,467,428,39,83.6,2026-06 (June),2026-06
OP0094,2026-03-28,Inscription en ligne,Maritime,Web,418,335,83,53.3,2026-03 (March),2026-03
OP0095,2026-06-25,Prise de rendez-vous,Centrale,Web,412,344,68,173.5,2026-06 (June),2026-06
OP0096,2026-01-05,Inscription en ligne,Centrale,Web,523,463,60,117.6,2026-01 (January),2026-01
OP0097,2026-01-05,Prise de rendez-vous,Centrale,Web,472,371,101,84.2,2026-01 (January),2026-01
OP0098,2026-11-03,Suivi de dossier,Kara,Mobile,594,428,166,119.3,2026-11 (November),2026-11
OP0099,2026-07-05,Demande d'acte administratif,Savanes,Mobile,554,528,26,32.0,2026-07 (July),2026-07
OP0100,2026-04-18,Inscription en ligne,Maritime,Web,438,367,71,138.3,2026-04 (April),2026-04
OP0101,2026-06-24,Suivi de dossier,Maritime,Mobile,199,175,24,97.6,2026-06 (June),2026-06
OP0102,2026-04-23,Suivi de dossier,Centrale,Mobile,476,453,23,132.9,2026-04 (April),2026-04
OP0103,2026-06-19,Prise de rendez-vous,Grand Lomé,Web,171,147,24,111.2,2026-06 (June),2026-06
OP0104,2026-05-26,Suivi de dossier,Maritime,Mobile,66,59,7,106.3,2026-05 (May),2026-05
OP0105,2026-01-04,Demande d'acte administratif,Kara,Mobile,147,142,5,74.1,2026-01 (January),2026-01
OP0106,2026-11-01,Prise de rendez-vous,Savanes,Web,390,355,35,29.0,2026-11 (November),2026-11
OP0107,2026-04-05,Demande d'acte administratif,Maritime,Mobile,484,458,26,147.8,2026-04 (April),2026-04
OP0108,2026-01-18,Prise de rendez-vous,Plateaux,Web,493,465,28,64.2,2026-01 (January),2026-01
OP0109,2026-04-19,Prise de rendez-vous,Centrale,Mobile,266,222,44,156.4,2026-04 (April),2026-04
OP0110,2026-06-27,Demande d'acte administratif,Centrale,Web,416,192,224,121.2,2026-06 (June),2026-06
OP0111,2026-10-03,Suivi de dossier,Kara,Web,216,194,22,30.3,2026-10 (October),2026-10
OP0112,2026-03-19,Suivi de dossier,Savanes,Mobile,230,207,23,145.1,2026-03 (March),2026-03
OP0113,2026-10-06,Demande d'acte administratif,Centrale,Mobile,223,195,28,149.9,2026-10 (October),2026-10
OP0114,2026-05-04,Demande d'acte administratif,Grand Lomé,Mobile,278,259,19,112.5,2026-05 (May),2026-05
OP0115,2026-02-17,Paiement de redevance,Kara,Web,582,421,161,132.2,2026-02 (February),2026-02
OP0116,2026-03-28,Suivi de dossier,Centrale,Mobile,186,149,37,167.3,2026-03 (March),2026-03
OP0117,2026-04-04,Inscription en ligne,Savanes,Mobile,342,309,33,63.4,2026-04 (April),2026-04
OP0118,2026-05-04,Demande d'acte administratif,Grand Lomé,Guichet assisté,340,256,84,169.9,2026-05 (May),2026-05
OP0119,2026-04-14,Suivi de dossier,Savanes,Web,427,327,100,79.2,2026-04 (April),2026-04
OP0120,2026-08-03,Demande d'autorisation,Centrale,Mobile,205,171,34,87.1,2026-08 (August),2026-08
OP0121,2026-05-02,Suivi de dossier,Plateaux,Guichet assisté,592,508,84,112.0,2026-05 (May),2026-05
OP0122,2026-02-26,Paiement de redevance,Plateaux,Mobile,64,60,4,82.7,2026-02 (February),2026-02
OP0123,2026-03-30,Demande d'autorisation,Savanes,Web,438,320,118,58.1,2026-03 (March),2026-03
OP0124,2026-03-20,Paiement de redevance,Kara,Web,407,353,54,55.2,2026-03 (March),2026-03
OP0125,2026-03-19,Suivi de dossier,Grand Lomé,Mobile,169,160,9,144.8,2026-03 (March),2026-03
OP0126,2026-07-06,Demande d'autorisation,Grand Lomé,Mobile,231,205,26,43.3,2026-07 (July),2026-07
OP0127,2026-03-27,Suivi de dossier,Centrale,Mobile,432,352,80,111.0,2026-03 (March),2026-03
OP0128,2026-11-06,Demande d'acte administratif,Centrale,Web,499,385,114,121.8,2026-11 (November),2026-11
OP0129,2026-02-06,Inscription en ligne,Grand Lomé,Web,284,215,69,108.4,2026-02 (February),2026-02
OP0130,2026-01-31,Prise de rendez-vous,Grand Lomé,Mobile,285,249,36,71.1,2026-01 (January),2026-01
OP0131,2026-05-31,Prise de rendez-vous,Centrale,Web,444,411,33,135.9,2026-05 (May),2026-05
OP0132,2026-01-20,Paiement de redevance,Plateaux,Web,455,352,103,27.2,2026-01 (January),2026-01
OP0133,2026-12-06,Demande d'autorisation,Maritime,Web,111,96,15,169.0,2026-12 (December),2026-12
OP0134,2026-02-01,Demande d'autorisation,Centrale,Guichet assisté,369,300,69,36.2,2026-02 (February),2026-02
OP0135,2026-01-03,Prise de rendez-vous,Savanes,Guichet assisté,383,325,58,53.1,2026-01 (January),2026-01
OP0136,2026-05-23,Demande d'autorisation,Savanes,Mobile,417,364,53,148.1,2026-05 (May),2026-05
OP0137,2026-04-20,Inscription en ligne,Kara,Mobile,581,513,68,169.1,2026-04 (April),2026-04
OP0138,2026-03-24,Inscription en ligne,Plateaux,Mobile,64,52,12,62.0,2026-03 (March),2026-03
OP0139,2026-02-25,Suivi de dossier,Kara,Mobile,486,370,116,155.2,2026-02 (February),2026-02
OP0140,2026-11-01,Demande d'acte administratif,Maritime,Web,134,105,29,45.3,2026-11 (November),2026-11
OP0141,2026-05-29,Demande d'acte administratif,Kara,Mobile,529,455,74,98.2,2026-05 (May),2026-05
OP0142,2026-02-05,Demande d'autorisation,Savanes,Guichet assisté,51,43,8,170.1,2026-02 (February),2026-02
OP0143,2026-01-24,Suivi de dossier,Maritime,Web,298,258,40,29.9,2026-01 (January),2026-01
OP0144,2026-04-27,Suivi de dossier,Centrale,Web,92,83,9,119.5,2026-04 (April),2026-04
OP0145,2026-01-02,Paiement de redevance,Savanes,Mobile,185,139,46,170.0,2026-01 (January),2026-01
OP0146,2026-06-03,Demande d'autorisation,Plateaux,Mobile,98,93,5,25.7,2026-06 (June),2026-06
OP0147,2026-06-17,Demande d'acte administratif,Savanes,Mobile,594,549,45,45.8,2026-06 (June),2026-06
OP0148,2026-02-17,Prise de rendez-vous,Kara,Web,181,147,34,61.0,2026-02 (February),2026-02
OP0149,2026-11-02,Prise de rendez-vous,Maritime,Web,77,61,16,103.8,2026-11 (November),2026-11
OP0150,2026-02-04,Paiement de redevance,Plateaux,Web,365,286,79,37.2,2026-02 (February),2026-02
OP0151,2026-01-04,Demande d'autorisation,Savanes,Web,500,374,126,54.5,2026-01 (January),2026-01
OP0152,2026-01-15,Demande d'autorisation,Centrale,Guichet assisté,338,315,23,150.7,2026-01 (January),2026-01
OP0153,2026-04-04,Paiement de redevance,Kara,Mobile,157,129,28,133.9,2026-04 (April),2026-04
OP0154,2026-05-03,Inscription en ligne,Grand Lomé,Mobile,189,166,23,153.2,2026-05 (May),2026-05
OP0155,2026-11-05,Demande d'acte administratif,Kara,Guichet assisté,57,54,3,149.8,2026-11 (November),2026-11
OP0156,2026-05-05,Inscription en ligne,Savanes,Mobile,547,439,108,139.7,2026-05 (May),2026-05
OP0157,2026-04-06,Demande d'acte administratif,Centrale,Web,130,125,5,80.1,2026-04 (April),2026-04
OP0158,2026-04-30,Prise de rendez-vous,Savanes,Mobile,372,357,15,138.8,2026-04 (April),2026-04
OP0159,2026-06-02,Demande d'acte administratif,Savanes,Mobile,47,43,4,87.9,2026-06 (June),2026-06
OP0160,2026-01-01,Demande d'acte administratif,Savanes,Web,550,300,250,95.3,2026-01 (January),2026-01
OP0161,2026-02-25,Demande d'autorisation,Maritime,Web,565,539,26,124.2,2026-02 (February),2026-02
OP0162,2026-03-30,Prise de rendez-vous,Savanes,Mobile,110,104,6,68.0,2026-03 (March),2026-03
OP0163,2026-09-05,Inscription en ligne,Centrale,Mobile,106,92,14,36.3,2026-09 (September),2026-09
OP0164,2026-01-01,Demande d'autorisation,Grand Lomé,Mobile,321,253,68,50.8,2026-01 (January),2026-01
OP0165,2026-02-27,Paiement de redevance,Savanes,Mobile,362,333,29,162.6,2026-02 (February),2026-02
OP0166,2026-02-19,Suivi de dossier,Maritime,Web,145,128,17,117.8,2026-02 (February),2026-02
OP0167,2026-07-02,Inscription en ligne,Maritime,Mobile,88,70,18,129.9,2026-07 (July),2026-07
OP0168,2026-05-03,Demande d'autorisation,Grand Lomé,Web,139,108,31,169.3,2026-05 (May),2026-05
OP0169,2026-05-23,Suivi de dossier,Centrale,Web,316,229,87,120.7,2026-05 (May),2026-05
OP0170,2026-06-19,Inscription en ligne,Grand Lomé,Web,469,416,53,169.4,2026-06 (June),2026-06
OP0171,2026-01-19,Paiement de redevance,Centrale,Web,330,253,77,156.1,2026-01 (January),2026-01
OP0172,2026-05-06,Suivi de dossier,Grand Lomé,Web,97,86,11,42.2,2026-05 (May),2026-05
OP0173,2026-02-28,Demande d'acte administratif,Kara,Guichet assisté,418,346,72,130.2,2026-02 (February),2026-02
OP0174,2026-05-03,Suivi de dossier,Centrale,Web,225,192,33,115.1,2026-05 (May),2026-05
OP0175,2026-02-20,Prise de rendez-vous,Maritime,Mobile,75,68,7,175.9,2026-02 (February),2026-02
OP0176,2026-01-21,Demande d'autorisation,Savanes,Mobile,249,206,43,52.3,2026-01 (January),2026-01
OP0177,2026-02-19,Prise de rendez-vous,Savanes,Guichet assisté,324,283,41,53.1,2026-02 (February),2026-02
OP0178,2026-02-02,Demande d'acte administratif,Kara,Guichet assisté,212,172,40,135.1,2026-02 (February),2026-02
OP0179,2026-02-15,Paiement de redevance,Centrale,Web,535,407,128,156.2,2026-02 (February),2026-02
OP0180,2026-02-28,Paiement de redevance,Maritime,Web,334,302,32,172.9,2026-02 (February),2026-02
OP0181,2026-11-05,Prise de rendez-vous,Kara,Mobile,243,214,29,49.8,2026-11 (November),2026-11
OP0182,2026-02-27,Inscription en ligne,Kara,Guichet assisté,84,70,14,38.4,2026-02 (February),2026-02
OP0183,2026-03-04,Prise de rendez-vous,Maritime,Mobile,146,131,15,43.8,2026-03 (March),2026-03
OP0184,2026-03-14,Suivi de dossier,Maritime,Web,255,201,54,30.3,2026-03 (March),2026-03
OP0185,2026-06-24,Demande d'acte administratif,Centrale,Web,379,344,35,162.2,2026-06 (June),2026-06
OP0186,2026-02-14,Paiement de redevance,Plateaux,Mobile,461,367,94,112.8,2026-02 (February),2026-02
OP0187,2026-12-04,Suivi de dossier,Kara,Web,379,289,90,114.9,2026-12 (December),2026-12
OP0188,2026-04-19,Suivi de dossier,Centrale,Web,473,357,116,142.5,2026-04 (April),2026-04
OP0189,2026-03-22,Inscription en ligne,Centrale,Web,566,446,120,39.8,2026-03 (March),2026-03
OP0190,2026-03-05,Suivi de dossier,Maritime,Web,53,45,8,86.4,2026-03 (March),2026-03
OP0191,2026-06-22,Suivi de dossier,Plateaux,Web,582,498,84,135.5,2026-06 (June),2026-06
OP0192,2026-02-26,Suivi de dossier,Centrale,Web,490,361,129,49.6,2026-02 (February),2026-02
OP0193,2026-01-19,Demande d'autorisation,Kara,Mobile,271,255,16,114.9,2026-01 (January),2026-01
OP0194,2026-10-01,Prise de rendez-vous,Savanes,Mobile,131,102,29,164.4,2026-10 (October),2026-10
OP0195,2026-05-27,Suivi de dossier,Plateaux,Web,47,38,9,86.4,2026-05 (May),2026-05
OP0196,2026-05-14,Inscription en ligne,Centrale,Web,415,368,47,128.0,2026-05 (May),2026-05
OP0197,2026-06-05,Demande d'autorisation,Centrale,Mobile,490,436,54,79.1,2026-06 (June),2026-06
OP0198,2026-12-03,Demande d'acte administratif,Plateaux,Mobile,370,287,83,152.5,2026-12 (December),2026-12
OP0199,2026-04-20,Demande d'acte administratif,Kara,Mobile,483,445,38,149.0,2026-04 (April),2026-04
OP0200,2026-07-03,Paiement de redevance,Kara,Mobile,325,259,66,59.0,2026-07 (July),2026-07
OP0201,2026-04-27,Inscription en ligne,Plateaux,Web,579,436,143,65.1,2026-04 (April),2026-04
OP0202,2026-05-24,Suivi de dossier,Kara,Mobile,422,328,94,57.1,2026-05 (May),2026-05
OP0203,2026-02-05,Prise de rendez-vous,Plateaux,Mobile,74,68,6,109.2,2026-02 (February),2026-02
OP0204,2026-02-22,Suivi de dossier,Maritime,Web,523,441,82,123.0,2026-02 (February),2026-02
OP0205,2026-05-18,Inscription en ligne,Grand Lomé,Mobile,97,89,8,92.4,2026-05 (May),2026-05
OP0206,2026-01-06,Demande d'autorisation,Maritime,Mobile,67,50,17,91.3,2026-01 (January),2026-01
OP0207,2026-12-04,Demande d'acte administratif,Savanes,Web,512,481,31,99.3,2026-12 (December),2026-12
OP0208,2026-01-26,Demande d'acte administratif,Savanes,Mobile,291,266,25,129.1,2026-01 (January),2026-01
OP0209,2026-01-30,Suivi de dossier,Savanes,Web,457,396,61,93.8,2026-01 (January),2026-01
OP0210,2026-05-15,Suivi de dossier,Maritime,Mobile,286,225,61,149.7,2026-05 (May),2026-05
